Data,Acao,Valor,Ano
07-01-2015,AXPB34,0.0741,2015
07-01-2021,AXPB34,0.22962,2021
07-04-2022,AXPB34,0.266032,2022
07-10-2015,AXPB34,0.109388,2015
07-10-2021,AXPB34,0.232329,2021
08-10-2020,AXPB34,0.242524,2020
13-10-2022,AXPB34,0.276141,2022
29-06-2016,AXPB34,0.090712,2016
30-06-2015,AXPB34,0.101546,2015
30-06-2022,AXPB34,0.265252,2022
31-03-2015,AXPB34,0.078221,2015
31-03-2021,AXPB34,0.224159,2021
04-05-2015,AZEV3,0.030556,2015
14-12-2015,AZEV3,0.126284,2015
04-05-2015,AZEV4,0.04772,2015
14-12-2015,AZEV4,0.197218,2015
01-07-2020,B3SA3,0.048932,2020
02-01-2020,B3SA3,0.117948,2020
02-01-2023,B3SA3,0.063981,2023
02-01-2024,B3SA3,0.100519,2024
03-01-2022,B3SA3,0.049777,2022
04-01-2021,B3SA3,0.1858,2021
05-07-2019,B3SA3,0.034401,2019
14-12-2015,B3SA3,0.084171,2015
16-04-2015,B3SA3,0.034388,2015
19-05-2015,B3SA3,0.04137,2015
19-06-2024,B3SA3,0.086087,2024
21-12-2021,B3SA3,0.149451,2021
22-08-2017,B3SA3,0.013341,2017
22-09-2023,B3SA3,0.10571,2023
22-11-2016,B3SA3,0.027363,2016
22-11-2017,B3SA3,0.027486,2017
22-12-2016,B3SA3,0.06863,2016
22-12-2017,B3SA3,0.087127,2017
23-05-2017,B3SA3,0.022958,2017
23-08-2016,B3SA3,0.040206,2016
23-09-2022,B3SA3,0.082875,2022
23-12-2022,B3SA3,0.024203,2022
24-02-2023,B3SA3,0.036728,2023
24-04-2018,B3SA3,0.032643,2018
24-05-2016,B3SA3,0.031658,2016
24-08-2015,B3SA3,0.047583,2015
24-09-2018,B3SA3,0.058709,2018
24-11-2015,B3SA3,0.058852,2015
25-03-2021,B3SA3,0.131045,2021
25-03-2022,B3SA3,0.181475,2022
25-09-2019,B3SA3,0.10587,2019
25-09-2020,B3SA3,0.265538,2020
25-09-2024,B3SA3,0.095661,2024
26-03-2020,B3SA3,0.106022,2020
