Ano,Acao,Valor
2020,CHVX34,2.6436100000000002
2021,CHVX34,2.8703190000000003
2022,CHVX34,2.8851560000000003
2023,CHVX34,4.695734
2024,CHVX34,3.587663
2015,CLSC4,1.967444
2016,CLSC4,1.002209
2018,CLSC4,0.509906
2019,CLSC4,1.054768
2020,CLSC4,1.924841
2021,CLSC4,6.813834
2022,CLSC4,2.798098
2023,CLSC4,6.8900380000000006
2024,CLSC4,6.498302000000001
2015,CMCS34,0.292103
2016,CMCS34,0.35142199999999996
2017,CMCS34,0.38826700000000003
2018,CMCS34,0.658375
2019,CMCS34,0.494916
2020,CMCS34,0.860729
2021,CMCS34,0.80225
2022,CMCS34,1.107348
2023,CMCS34,1.04288
2024,CMCS34,0.919975
2015,CMIG3,0.224519
2016,CMIG3,0.401283
2017,CMIG3,0.060643
2018,CMIG3,0.088993
2019,CMIG3,0.369615
2020,CMIG3,0.17448999999999998
2021,CMIG3,0.810095
2022,CMIG3,1.9660259999999998
2023,CMIG3,0.992866
2024,CMIG3,1.384902
2015,CMIG4,0.222784
2016,CMIG4,0.39818299999999995
2017,CMIG4,0.060174
2018,CMIG4,0.328424
2019,CMIG4,0.369615
2020,CMIG4,0.17448999999999998
2021,CMIG4,0.810095
2022,CMIG4,1.506473
2023,CMIG4,0.992866
2024,CMIG4,1.398817
2019,CNES11,1.182073
2020,CNES11,2.9530579999999995
2021,CNES11,1.3736230000000003
2022,CNES11,1.245356
2023,CNES11,1.0986690000000001
2024,CNES11,0.321837
2015,COCA34,0.7802359999999999
2016,COCA34,0.572776
2017,COCA34,0.79423
2018,COCA34,0.981019
2019,COCA34,1.062734
2020,COCA34,0.981244
2021,COCA34,1.1627420000000002
2022,COCA34,1.502454
2023,COCA34,1.52053
2024,COCA34,1.64865
2015,COCE3,0.537018
2016,COCE3,0.926047
2017,COCE3,1.992162
2018,COCE3,1.091631
2019,COCE3,1.870151
2020,COCE3,2.123713
2021,COCE3,3.616476
2022,COCE3,1.9434620000000002
2023,COCE3,0.307952
2024,COCE3,0.964574
2015,COCE5,0.537018
2016,COCE5,0.926047
2017,COCE5,1.992162
2018,COCE5,1.091631
2019,COCE5,1.870151
2020,COCE5,2.123713
2021,COCE5,3.616476
2022,COCE5,1.9434620000000002
2023,COCE5,0.307952
2024,COCE5,0.964574
2015,COGN3,0.161486
2016,COGN3,0.348723
2017,COGN3,0.42503599999999997
2018,COGN3,0.391718
2019,COGN3,0.120354
2015,COLG34,0.705647
2016,COLG34,0.780408
2017,COLG34,0.718332
2018,COLG34,0.858754
2019,COLG34,0.97332
2020,COLG34,1.230618
2021,COLG34,0.691052
2022,COLG34,1.3746829999999999
2023,COLG34,1.3520649999999999
2024,COLG34,1.508836
2015,COPH34,0.834253
2016,COPH34,0.293181
2017,COPH34,0.28126799999999996
2018,COPH34,0.36197500000000005
2019,COPH34,0.448268
2020,COPH34,0.533148
2021,COPH34,0.676595
2022,COPH34,2.1020090000000002
2023,COPH34,1.2663190000000002
2024,COPH34,0.703908
2015,CORR4,6.148
2016,CORR4,6.148
2017,CORR4,6.148
2018,CORR4,6.148
2021,CORR4,6.148
2023,CORR4,149.73375
2015,COTY34,0.487925
2016,COTY34,0.33175
2017,COTY34,0.8007949999999999
2018,COTY34,0.490124
2019,COTY34,0.991975
2020,COTY34,0.319275
2018,COWC34,0.05418
2019,COWC34,0.252289
2020,COWC34,0.268105
2021,COWC34,0.324277
2022,COWC34,0.553089
2023,COWC34,1.708539
2024,COWC34,0.419195
2016,CPFE3,0.206869
2017,CPFE3,0.217877
2018,CPFE3,0.275259
2019,CPFE3,0.480182
2020,CPFE3,1.800973
2021,CPFE3,3.701428
2022,CPFE3,3.242281
2023,CPFE3,2.885587
2015,CPLE3,0.084351
2016,CPLE3,0.113716
2017,CPLE3,0.176466
