"Ticker","Nome","Negócios","Última (R$)","Variação"
"WEST3","Westwing","1.700","5,14","-0,96%"
"RPMG3","Refinaria de Manguinhos","1.700","2,90","+0,35%"
"REDE3","Rede Energia","1.600","6,51","+1,88%"
"HAGA4","Haga","1.600","1,17","-1,68%"
"BGIP4","Banese","1.400","25,00","-1,69%"
"BEES4","Banestes","1.400","8,39","+0,48%"
"SNSY5","Sansuy","1.400","4,06","+0,74%"
"BNBR3","Banco do Nordeste","1.300","100,00","+5,26%"
"ISAE3","ISA Energia","1.300","31,65","-0,31%"
"RSUL4","Metalúrgica Riosulense","1.200","68,00","+3,20%"
"EPAR3","Embpar Participações","1.100","4,99","+0,60%"
"PEAB4","Participações Aliança da Bahia","1.000","51,00","+13,33%"
"CGRA4","Grazziotin","1.000","25,69","+0,16%"
"NUTR3","Nutriplant","1.000","3,32","-1,48%"
"GEPA4","Rio Paranapanema Energia","900","30,80","+3,01%"
"AVLL3","Alphaville","900","2,04","-5,12%"
"RPAD3","Alfa Holdings","800","4,17","-3,47%"
"AHEB3","São Paulo Turismo","700","42,00","+5,00%"
"BSLI4","Banco de Brasília","700","6,68","+0,91%"
"CEBR5","CEB","600","16,81","-0,24%"
"EUCA3","Eucatex","600","15,20","-0,33%"
"PLAS3","Plascar","600","7,08","+15,50%"
"EQPA3","Equatorial Energia Pará","600","5,54","-1,42%"
"BMIN4","Banco Mercantil de Investimentos","500","16,00","-0,06%"
"TELB4","Telebras","500","9,04","+0,44%"
"IGTI4","Iguatemi","500","7,51","-6,12%"
"IGTI4","Jereissati Participações","500","7,51","-6,12%"
"NEXP3","Brasil Brokers","500","3,85","+0,00%"
"PEAB3","Participações Aliança da Bahia","400","45,00","+0,56%"
"MNDL3","Mundial","400","19,30","+1,58%"
"CRPG5","Tronox Pigmentos","400","19,18","-0,05%"
"CRPG6","Tronox Pigmentos","400","18,97","-1,15%"
"EKTR4","Elektro","300","48,55","-0,12%"
"WLMM4","WLM","300","29,97","-0,07%"
"EALT3","Electro Aço Altona","300","13,80","+2,22%"
"DEXP4","Dexxos","300","8,26","-5,06%"
"RPAD5","Alfa Holdings","300","6,48","+2,86%"
"PPLA11","PPLA","208","1,16","+0,87%"
"BAUH4","Excelsior","200","78,38","+0,03%"
"AHEB6","São Paulo Turismo","200","50,00","+19,05%"
"CEEB3","COELBA","200","38,20","+1,60%"
"MRSA5B","MRS Logística","200","30,00","+0,54%"
"MNPR3","Minupar","200","27,73","-0,18%"
"BGIP3","Banese","200","25,69","+2,31%"
"CEDO4","Cedro Têxtil","200","20,23","+2,53%"
"CEBR3","CEB","200","16,99","+0,00%"
"BSLI3","Banco de Brasília","200","7,22","+3,00%"
"RPAD6","Alfa Holdings","200","4,00","-2,44%"
"CTSA3","Santanense","200","1,34","+1,52%"
"CGAS5","Comgás","100","130,69","+1,76%"
"CLSC3","Celesc","100","74,80","+0,00%"
"AHEB5","São Paulo Turismo","100","50,00","+11,11%"
